headline,label
覺得 搞笑 成份 蠻 多 的 很多 情節 有 ,0.0
一 部 讓 你 想 一 看 再 看 的 片 衛生紙 一 包 都 不 夠 用 ,1.0
看 兩 隻 怪獸 打架 場面 浩大 動畫 不錯 劇情 很 弱 ,0.0
新公主 出現 了 真的 蠻 推 的 啦 東南亞 文化 大量 融合 劇情 與 畫面 呈現 是 一 次 很 棒 的 嘗試 外加 公主 沒有 唱歌 真的 是 目前 公主 系列 第一 次 非常 新穎 為 角色 配音 的 也 大多 都 是 亞裔 演員 故事 著重 於 親情 與 友情 之間 的 信任 的 描繪 值得 推薦 而 這 次 的 前導 影片 譯名 奇幻夜 也 令 人 感動 不已 阿 ,1.0
劇情 普通 但 裘莉 魅力 可以 讓 這 部 片 加 到 七八十 分 殺手 再 多一點 十 間 多 一些 讓 角色 的 情緒 轉折出來 然後 來 點 鬥智 的 部分 像 以前 終極 戰士 的 阿諾 那樣 設 些 陷阱 不 是 更 好 嗎 ,0.0
剛 開始 看 只 覺得 好笑 的 哽感覺 還 行 中 後段 才 發現 真的 滿 好看 的 ,1.0
血腥 程度 稍 下降 機關 還 滿 新穎 的 驚悚 程度 滿分 結局 很 意外 ㄇㄉㄈㄎ ,1.0
雖然 是 翻拍 劇情 很 荒謬 但 後段 還是 爆哭 哈 哈哈 ,1.0
一 部 作品 被 粉絲 搞臭 原本 就 沒有 一 個 作品 可以 滿足 所有人 為什麼 都 不能 接受 別人 批評 ,0.0
片名 讓 我 覺得 血腥 及 偏離 重點 這 部 電影 算好看 ,1.0
這 集 的 打鬥 真的 是 不錯 啦 很 慘烈 但 總體 而言 還是 第 集 怪獸 之 王 好看 配樂 也 比 這 部 用心 很多 哥吉拉 登場 沒有 經典 配樂 怪獸 宇宙 就 這樣 完結 了 有點 空虛 的 感覺 ,0.0
國片 就是 一 群 美女 和 校花 和 乖乖女 和 孝女 和 ,0.0
我 第一 次 看 電影 還 能 學到 台語 啥 款 ,1.0
好看 好 哭 爸爸 眼神 每 次 都 讓 人 不捨 ,1.0
演員 都 很 會 演 一切 都 很 好看 好笑 又 好 哭 ,1.0
我 覺得 整體 來 說 這 部 電影 至少 值 四 顆 星 多 給 一 顆 是 因為 難得 迪士尼 動畫 沒有 唱歌 算是 不錯 的 嘗試 ,1.0
邱澤 許瑋甯 演技 大 爆發 電影 又 好笑 又 感人 非常 推薦 大家 進 戲院 看 電影 ,1.0
很 好看 也 不會 太 小朋友 的 電影 整體 流暢 不 悶 也 蠻 療癒 的 ,1.0
雖然 看 之前 就 知道 是 爽片 但 人類 方 的 劇情 真的 很 難看 沒有 怪獸 之 王 好看 機械 哥吉拉 算是 最 期待 的 但 設計 的 有點 醜 金剛 比 預料 的 更多 生動 的 表現 打鬥 爽度 還 不錯 ,0.0
挺 好看 的 爽片 應該 是 近期 看過 的 電影 覺得 想 推薦 的 ,1.0
整 部 電影 從頭到尾 都 很 精彩 從 開頭 的 笑 到 翻肚 到 結尾 的 感動 落淚 邱澤 的 演技 大 爆發 值得 進 戲院 觀賞 ,1.0
還 蠻 刺激 至少 我 沒 睡著 平常 很 容易 睡著 的 我 ,0.0
比 貓 與 老鼠 那 種 爛片 好 太多 了 畢竟 迪士尼 嘛 ,1.0
沒有 預期 中 的 好看 ,0.0
 個 人 鏡頭 的 片 故事 單調 空洞 沒有 幽默感 故事 結構 沒頭沒尾 ,0.0
進 戲院 看 了 又 看 每 次 在意 的 地方 都 不 一樣 唯一 一樣 就 是 好 感人 好 想 哭 這 片 洋蔥 真的 太多 太多 了 ,1.0
男女 主角 演技 稱職 通俗 愛情 劇拍 的 還 不 狗血 導演 功力 還 不錯 演 男 主爸 的 蔡辰南 演 的 也 到位 ,0.0
雖然 劇情 有點 太 淺 太 短 沒有 愛情 也 不 太 熱血 但是 人物 的 表情 很 生動 故事 背景 很 有 東方 奇幻 的 感覺 ,1.0
電影 節奏 掌握 的 不錯 雖然 開場 我 就 看出 可能 的 劇情 最後 沒想到 是 這樣 收尾 這 種 搶匪 的 片子 還 不錯 可惜 首腦 犯罪 集團 的 部分 應該 在 刻劃 些 但是 真的 好看 蠻 推薦 進 戲院 看 的 加上 有 玩 就 知道 這 電影 在 洛杉磯 拍攝 熟悉 的 場景 阿阿阿 ,1.0
絕無 冷場 邱澤 演 的 真 好 有 笑 有 淚 眼淚 不用 醞釀 自然 從 眼角 滑落 不 痛苦 不需 聲嘶力竭 的 眼淚 是 內心 深層 的 同感 後勁 很 強 看完 在 位子 上 坐 了 好 久 但 也 看到 了 好 久 不 見 的 濃烈 真愛 純真 的 深愛 邱澤 的 好多 表情 都 刻 在 心 底 了 ,1.0
進去 電影院 後 才 之 到 是 電影 死屁 還 發情 最後 其實 被 塑造成 大好人 這 種 灑 狗血 劇情 一點 也 不 敢 動 也 沒有 哭 點 啊 罵罵 髒話 講講 台語 台片 沒有 梗 了 這 種 發情 的 真的 滿 會 教壞 小孩 的 ,0.0
真的 真的 很 好看 適合 小孩 大人 一起 觀賞 有點 感人 ,1.0
再一次 被 邱澤 感動 哭 到 不行 ,1.0
怎麼 笑 著 笑 著 就 哭 了 好 感動 啊 ,1.0
很多 事 都 需要 真相 大家 才 會 去 多 重視 注意 他 惡水 真相 真的 很 好看 ,1.0
失去 元老 的 精神 根本 就 沒想要 給 人 活命 的 機會 犯人 有點 好猜 有點 失望 這 次 專 挑 所謂 的 黑警 下手 把 每 個 警察 都 演成 白癡 ,0.0
大家 生活 是 有 多 不 順遂 看 這樣 的 演技 和 故事 就 可以 哭出來 一 顆 星 是 給 監 製程 偉豪 的 期待 你 編導 下 一 部 作品 ,0.0
好看 就 是 好看 主題曲 也 好聽 迪士尼 首次 以 東南亞 的 人物 做為 故事 主軸 亞洲 之 光 ,1.0
這 類型 的 電影 還是 天 若 有情 經典 ,0.0
前 半 段 比較 鬆散 中 後段 漫漫 精彩 最後 那 場 打鬥 是 高潮 ,0.0
很 好看 的 一 部 好笑 又 感人 值得 一 看 ,1.0
很 好笑 又 很 好看 又 感人 的 故事 很 好笑 又 很 好看 又 感人 的 故事 ,1.0
好看 雖然 龍 有點 醜 但 故事 很 精彩 ,1.0
感覺 跟 用 電腦 看 的 動畫 差不多 不錯 看 但 沒 到 那麼 高分 ,0.0
真的 人類 演 的 部分 都 是 自私 的 老梗 這 部 就 是 人類 瘋狂 攻擊 哥吉拉 然後 人類 控制 金剛 等 兩敗俱傷 機械 哥吉拉 撿 尾刀 然後 人類 再 向 金剛 求救 跟 哥吉拉 合作 結尾 後 繼續 研究 金剛 真的 沒辦法 當 爽片 最 好 的 順序 可 以 機械 哥吉拉 先 出現 兩 隻 巨獸 衝突 最後 合作 對抗 機械 哥吉拉 這樣 演 比較 有 共鳴 跟 爽感 ,0.0
跟 我 想 的 不 一樣 不 算 老套 但 剪輯 好像 有點 問題 有些 地方 怪 拖戲 ,0.0
只有 霓虹燈 部分 有 中 ,0.0
演技 很 好 音樂 很 揪心 改編 也 沒 什麼 不 好 每 一 種 詮釋 都 是 不同 風格 的 展現 ,1.0
除了 主角 演技 真的 很 棒 外 其他 沒 什麼 優點 了 真 不 知道 所謂 台式 風格 到底 是 什麼 有 流氓 加上 浪子 回頭 就 台式 風格 ,0.0
邱澤 演 得 非常 好 是 有 層次感 的 真的 很 好看 ,1.0
覺得 滿 好看 的 整 部 片 都 營造 黑色 的 風格 但 覺得 整體 看起來 很 壓抑 傑森 真的 很 適合 演 大哥 ,0.0
國片 真的 很 懂 國人 的 點 真的 哭慘 了 大珠小珠 直直 落 ,1.0
裡面 人物 造型 都 有 很 新穎 的 感覺 沒 冷場 劇情 也 感人 推薦 ,1.0
真的 非常 好看 故事 情節 交代 完全 整 個 故事 走向 讓 人 清楚 明瞭 男女 主角 的 演技 真的 非常 引人入勝 全 劇 無 冷場 親情 愛情 的 展現 動人 心弦 能夠 將 一 個 這麼 完整 的 故事 濃縮 在 這 短短 時間 之內 真的 配 的 起 五 顆 星 ,1.0
疫情 期間 爛片 一 堆 很多 騙商 都 是 詐騙 集團 終於 有 個 能 看 的 電影 讓 我 從頭到尾 都 認真 看 不會 看到 打瞌睡 個 字 形容 好看 ,1.0
非常 值得 跟 朋友 家人 甚至 帶 小朋友 來 看 非常 有 教育 意涵 整 部 片 圍繞 著 勇氣 與 信任 為 主軸 有 歡笑 有 感人 的 片段 值回票價 ,1.0
很 不錯 喔 很 推薦 ,1.0
無 冷場 光頭 傑森 就 是 讚 ,1.0
真 得 很 好 哭 很 值得 看 ,1.0
整體 來 說 我 個人 比較 喜歡 怪獸 之 王 雖然 哥吉拉 大戰 金剛 也 不錯 看 重點 一定 要 看到 最後 一定 要 看到 一定 要 看到 最後 因為 很 重要 所以 要 說 三 次 有 下 一 集 的 彩蛋 ,0.0
動畫片 在 家 看 就 好 幫 平衡 分數 ,0.0
把 動畫 追完 才 進 電影院 看 前面 有點 無聊 但 後面 有 拉起來 動畫 蠻 有 氣勢 的 最後 炎柱 的 部分 很 感動 也 很 可惜 看 了 一直 流淚 期望 不要 太 高進去 看 否則 會 有點 失望 感覺 有 續集 ,0.0
好看 刺激 流暢 傑森史塔森 帥爆 ,1.0
勝利 的 關鍵 是 因為 那 個 男孩 ,0.0
我 已經 看完 漫畫 了 跟 看 漫畫 不同 動畫 聲優 給 了 各 角色 靈魂 劇場版 是 動畫 的 第 話 沒 看過 動畫 的 之後 應該 會 去 追動 畫 明年 也 要 放送 了 整 部 作品 無論 是 動畫 本身 或 聲優 選角 都 是 超強 今天 是 公司 的 電影 欣賞 活動 考慮 要不要 買 票 再 看 一 次 ,0.0
還是 覺得 上 一 集 比較 好看 而且 沒有 哥吉拉 出場 配樂 就 扣分 了 第二 集 大於 大約 真的 還 滿 像 環 的 ,0.0
沒 劇情 普通 槍戰 也 稱不上 爽片 主要 賣 杰森 老臉 一 首 音樂 貫徹 全部 不 建議 電影院 看 ,0.0
值得 一 看 的 好 電影 推爆 爆 ,1.0
前面 還 蠻 平淡 的 後面 的 有 把 分數 拉起來 整體 來 說 是 好看 的 ,0.0
看到 很多 豐富 的 東南亞 元素 故事 的 寓意 很 棒 聽說 是 馬來西亞人 寫 的 故事 超棒 的 ,1.0
好看 ,1.0
很 好看 差點 因為 前面 的 評價 放棄 了 雖然 沒有 很多 的 打鬥 場面 但是 劇情 緊湊 好看 啊 安潔莉娜裘莉 真的 很 會 演 ,1.0
到底 哪裡 好看 超普 不 是 故意 刷負 評 但 真的 沒 你們 說 得 這麼 好 ,0.0
劇情 很 爛 莫名其妙 匪夷所思 雷神 戰斧 都 出來 了 打鬥 跟 特效 還可以 ,0.0
壞 的 還是 那 個 壞人 整體 還 不錯 ,0.0
期待 已 久 超級 好看 精彩 刺激 ,1.0
我 覺得 還 不錯 啊 還是 有 蓋瑞奇 基本 水準 整體 畫面 呈現 及 配樂 都 很 加分 氣勢 十足 有 人 說 看到 睡著 也 太 誇張 槍聲 那麼 大聲 也 會 被 嚇醒 吧 傑森史塔森 的 表演 反而 讓 我 發現 他 內斂 壓抑 的 那 面 需要 細細 品味 矮 唷 電影 就 是 要 看 爽 的 啊 我 只 知道 看完 爽炸 ,1.0
超級 好看 又 刺激 值得 一 看 讚讚 讚讚 ,1.0
我 個人 認為 劇情 普普 很 容易 猜到 劇情 走向 但 演員 演技 生動 很少 看到 翻拍 的 電影 能 那麼 台 笑點 哭 點 真的 滿 點 欸 希望 票房 能 破 億 國片 都 大賣 ,1.0
荒謬 的 劇情 第一 次 看 電影 看到 睡著 比較 適合 小朋友 看 ,0.0
傑森史塔森 和 蓋瑞奇 合作 就是 讚 不過 這 是 以 劇情 為主 的 電影 沒有 從頭 打到 尾 想 看 動作片 的 要 有 心理 準備 ,1.0
很 喜歡 邱澤 演技 大 發揮 覺得 這 部 戲 的 情感 呈現 很 道 地 ,1.0
怪獸 對打 爽片 特效 好看 劇情 普通 有些 地方 模模糊糊 就 帶過 ,0.0
龍 真的 就 是 奧卡菲娜 本人 武打 也 不錯 ,0.0
動畫 超棒 劇情 感人 刺激 好看 到 爆 根本 在 看 英雄 片 迪士尼 果然 不會 讓 我 失望 唯一 缺點 龍 有點 醜 ,1.0
真心 覺得 普普 拜 疫情 所 賜 最近 沒 上 甚麼 強片 才 能 有 這樣 的 成績 前面 太 拖戲 看到 我 睡著 後面 打鬥 不錯 但 太 短 以 電影 來 說 真的 不 夠 精彩 之前 看 的 海賊王 電影 我 還 覺得 比較 好看 咧 ,0.0
還可以 打鬥 畫面 是 很 精彩 沒 錯 ,0.0
大爛片 真的 很 無聊 沒 什麼 劇情 還是 回家 洗洗 睡 好 ,0.0
地表 最 強 光頭 果然 不 是 蓋 的 這 次 還 跟 蓋瑞奇 合作 整 場 電影 沒有 冷場 ,1.0
比 想像 的 好看 有 劇情 的 但 還 是 一 部 爽片 ,0.0
台灣人 水準 真 低 拍 討債 一 堆 人 叫好 ,0.0
導演 拍攝 手法 不錯 唷 比 藥命 交錯 好看 ,0.0
雖然 劇情 可以 很 輕易 的 猜到 但 就是 因為 在 簡單 劇情線 中 才 能 更 顯得 演員 們 的 實力 演技 開頭 笑 著 卻 哭 著 出 戲院 ,1.0
劇情 最後 有些 不 太 合理 當 爽片 看 的 話 很 ,0.0
真的 很 好看 喜歡 演員 們 在 戲 裡 的 細膩 演技 帶動 觀眾 的 情緒 在 最後 會 跟著 潰堤 ,1.0
我 不 愛 看 漫畫 的 人 居然 覺得 這 部 很 可以 不得不 推 一下 好看 期待 下 一 集 ,0.0
傑森史塔森 終於 回來 了 淚流滿面 前年 看玩 命關頭 特別 行動 到底 什麼 鬼 ,1.0
看到 有 人 說 好看 就 去 看 了 真的 很 好看 沒 後悔 ,1.0
不管 是 角色 設定 背景 設定 故事 情節 全 都 很 爛 不 知道 哪裡 好看 哭 點 設計 的 過於 刻意 沒有 深度 可 言 ,0.0
超 好看 的 還 沒 看 得 很 值得 一 看 喔 ,1.0
這 一 部 片 一定 會 全球 大賣 實在 是 太 好看 了 音樂 好聽 對白 有趣 男 主角 演技 驚人 真是 最佳 男 主角 最佳 影片 最佳 配角 最佳 劇本 ,1.0
值得 進 電影院 支持 的 國片 演員 們 都 很 棒 ,1.0
還 不錯 原本 以為 以 龍 為 主角 會 是 中國風 看 了 之後 才 知道 原來 是 走 印度風 但 好看 就 是 好看 迪士尼 真的 強 真人版 花木蘭 不 算 ,1.0
很 溫馨 笑 點 滿多 的 看到 最後 蠻 感人 的 男 主角 超 會 演 ,1.0
扣 顆 星 是 因為 女 主角 胸部 太 小 都 沒 在 篩選 演員 的 嗎 扣 另 顆 星 是 因為 金剛 不 夠 暴力 血腥 感覺 像 娘砲 一樣 ,0.0
壞人 演 的 很 壞 小 男孩 演 的 不錯 女 主角 也 是 我 喜歡 看 的 還可以 更 好 ,1.0
完全 只是 為了 打架 而 打架 整 部 戲 沒有 劇情 ,0.0
推 非常 好看 邱澤 和 許瑋甯 飆 演技 細膩 真情 流露 淚水 在 眼眶 裡 不停 打轉 請 支持 國片 ,1.0
好 難看 劇情 好爛 有些 選角 超出 戲 而且 真的 在 嗎 時空 好 錯亂 整 部 電影 畫面 角度 都 抓 的 超怪 看 得 有夠 不 舒服 ,0.0
真的 很 好看 我 哭 整 場 推薦 大家 一定 要 看 ,1.0
好看 賺 人 熱淚 迪士尼 永遠 不會 讓 人 失望 重點 不 是 力量 而是 信任 ,1.0
近期 看過 最 好看 的 電影 完全 沒有 冷場 ,1.0
近期 值得 一 看 的 國片 當然 要 支持 一 下 啦 ,1.0
推演 方式 讓 人 深深 沈浸 在 劇情 中 雖然 內鬼 很 明顯 很 好 猜 但 還是 非常 好看 很 推薦 ,1.0
哭 到 無法 自拔 啜泣聲 停 不 下來 超級 好看 想 去 二 刷 了 ,1.0
我 想 光頭佬 唯一 失敗 的 電影 只有 巨齒鯊 吧 ,1.0
劇情 老套 這 部 片 我 只 能 打到 到 顆 如果 不 看 劇情 只 看 打鬥 會 是 一 部 爽片 還是 一樣 有壞 的 人類 老鼠屎 搞 破壞 的 永遠 是 人類 而 不 是 怪獸 整 部 片 的 主軸 環繞 在 回家 這 兩 個 字 上面 這 部 片 說白 了 就 是 金剛 返 家 記 只是 返 家 的 路程 上 多 了 哥吉拉 本能 跟 機器 哥吉拉 人為 來 搗蛋 原本 金剛 是 被 人類 關 在 骷髏島 上 只要 不 出島 就 不會 被 哥吉拉 打 偏偏 壞人 故意 用 某 種 裝置 感覺 會 發出 泰坦 怪獸 聲波 跟 怪王 那 個 裝置 一樣 吸引 哥吉拉 到處 搞 破壞 讓 守護 金剛 的 人類 誤以為 情況 危及 必須 趕快 讓 金剛 出島 回 老家 孰 不 知 這 一切 都 是 一 場 陰謀 壞人 需要 金剛 老家 的 礦石 來 當做 機器 哥吉拉 的 能源 才 會 不惜 成本 免費 送 金剛 回家 哥吉拉 其實 不 壞 只是 臉 長 得 兇 喜歡 打架 佔 地盤 而已 大家 都 看錯 他 了 其實 最 壞 的 還是 人類 另外 劇 中 小女孩 跟 金剛 相處 的 方式 有點 像是 或 大黃蜂 獨立 電影 的 設定 都 是 有 個 可憐 小孩 遇到 怪怪 的 人 而且 從 金剛 的 老家 中 的 一些 東西 石門 暴風斧 跟 地上 鑲崁式 行動電源 以及 跟 小女孩 的 相處 方式 可以 得知 金剛 其實 是 具有 一定 程度 的 智慧 或者 曾經 有 個 古代 文明 是 專門 侍奉 金剛 族群 才 有 那 把 爆風斧 也 說不定 另外 哥吉拉 的 打鬥 方式 也 不再 侷限 在 只 會 噴射線 跟 甩 尾巴 在 電影 中 妳 可以 把 哥吉拉 想像成 大型 哥模 多 巨蜥 那樣 地面 爬行 跟 用 爪 畫傷 金剛 都 跟 蜥蜴 差不多 機器 哥吉拉 很 醜 打鬥 場面 讓 我 想到 環太平洋 的 吉普賽 流浪 者 在 打 怪物 人類 劇情 是 可以 不用 看 專注 在 打鬥 跟 金剛哥 吉拉 的 內心戲 就 好 了 最後 哥吉拉 離開 和 金剛 漸 行 漸 遠 的 鏡頭 讓 我 覺得 我們 的 世仇 算 結清 了 以後 大家 就 各 過 各 的 吧 你 當 你 的 地 底 王 我 哥 吉拉 稱霸 地面 ,0.0
蠻 喜歡 的 一 部 片 至少 不至於 雷 可以 去 看看 ,1.0
有 笑 有 淚 的 一 部 電影 演員 演技 也 很 好 片 中 場景 很 有 帶入感 比如 廟 路邊攤 本土味 的 銀行 等等 真的 推 ,1.0
是 不錯 看 但是 不 是 抄襲 大陸 段宏楠 他們 拍 的 電影 因為 他們 一 兩 年 前 就 拍完 了 劇情 都 是 一樣 段宏楠 他們 的 也 是 討債 也 是 愛上 欠債人 的 女兒 也 是 用 彩色 筆畫 表格 也 是 要 一起 付錢 租 店 最後 也 是 被 陷害 被 抓 也 是 生病 提早 放出來 也 是 去 討 他 那 份 錢 最後 也 是 死 了 段 宏楠 電影 叫做 江南 花火 你們 大家 去 看看 就 知道 我 為什麼 說 是 抄襲 也 因為 人家 比較 早出 這 電影 居然 劇情 都 一模一樣 ,0.0
邱澤 演技 真的 爆好 以及 導演 將 邱澤 與 許瑋甯 之間 的 火花 及 互動 都 掌握 的 很 好 影片 中 圍繞 著 親情 與 愛情 之間 的 關係 值得 一 看 雖 劇情 普通 但 導演 真的 拍 的 很 好 ,1.0
啥 款 超 感動 一 刷 看 劇情 二 刷 看 演員 表情 仍然 熱淚盈眶 ,1.0
拜託 大家 一定 要 支持 不 是 只有 愛情 故事 親情 的 元素 和 情感 同樣 讓 人 在 電影院 哭 得 東倒西歪 邱澤 的 演技 非常 出色 啥款 愛情 你 真的 比 想 的 更 概 偉大 ,1.0
電影 裡 的 香港 超 可憐 淪為 戰場 然後 又 不能 含扣 原 以為 有 救星 結果 被 打爆 然後 怪物 就 拍拍 屁股 走人 也 不用 負責 喽 ,0.0
比 想像 中 好看 左邊 右邊 的 女生 都 哭爆 了 適合 帶 女生 去 看 的 電影 雖然 感人 都 沒 戳中 我 的 哭 點 所以 我 是 沒 哭 但 看 女生 哭 就 很 爽 哈哈 ,1.0
前面 內容 覺得 有點 拖 除了 打鬥 部分 覺得 不錯 外 其他 我 覺得 還好 個人 感覺 吧 ,0.0
整體 下來 算 普通 不 難看 但 整體 節奏 到 後面 其實 算 有些 混亂 ,0.0
期待 很 久 的 一 部 片 蓋瑞奇 果然 不會 讓 觀眾 失望 ,1.0
去 電影院 看 這 部 片 算是 給 自己 的 生日 禮物 非常 慶幸 自己 沒有 錯過 這 部 好 片 坦白 說 是 因為 同 檔期 的 片子 我 沒有 感興趣 的 想 著 這 部 片 也 快 下檔 了 就 給 他 一 個 機會 我 是 一 個 看 電影 很 容易 分心 的 人 這 幾 年 幾乎 很 少 有 哪 部 電影 是 能 讓 我 從頭到尾 都 興致 盎然 看完 的 拉雅 卻 讓 我 越 到 結局 越 有 種 捨不得 的 情緒 聽完 片尾區 才 捨得 走出 戲院 老梗 拍出 新意 不 是 件 容易 的 事情 還 沒 看 的 拜託 去 看看 吧 不會 後悔 的 真的 ,1.0
劇情 可以 直接 順序 的 演 下去 何必 要 回顧 的 方式 演 結局 也 太 簡單 了 一點 都 不 像 傑森史塔森 該 有 的 電影 不過 還是 可以 去 電影院 看 ,0.0
不虛此行 細膩 詮釋 情感 經歷 一 場 又 哭 又 笑 的 三溫暖 打從 心 中 肯定 邱澤 的 認真 好 的 演員 和 劇本 讓 人生 多 了 一 晚 美好 ,1.0
不錯 看 但 沒有 必要 進 電影院 看 看過 韓國版 的 劇情 百分之 一樣 沒有 像 我 的 少女 時代 那些 年 我們 追 的 女孩 那樣 帶給 我 感動 ,0.0
好 電影 國片 愛情片 新 高峰 看完 會 讓 你 珍惜 當下 的 自己 與 伴侶 比起 最後 至 死 也 不能 在一起 的 男女 主角 我們 真的 幸福 很多 了 ,1.0
邱澤 演 得 真的 很 好 欠 邱澤 一 座 金馬獎 最後 是 哭 著 走出 戲院 的 有 笑 有 淚 真的 推 想 說 眼淚 收好 了 結果 最後 繼續 爆淚 現在 大家 的 口頭禪 應該 都 是 啥 款吧 ,1.0
很 老梗 的 劇情 兇手 也 太 好猜 了 黑暗 正義 ,0.0
不錯 看 不過 這 集 劇情 普通 打鬥 為主 一 堆 小學生 不 知 啥 是 劇情 盲目 護航 ,0.0
劇情 覺得 可惜 的 地方 就 是 復仇片 最 大 好看 的 地方 就 在於 看 主角 如何 抽絲剝繭 自己 找到 歹徒 如果 最後 歹徒 不 親自 上門 他 不 就 找 不 到 他們 了 嗎 還 有 他 的 手下 幹嘛 要 去 搶 運鈔車 ,0.0
沒有 評分 來 的 好看 不 知道 在 瘋 怎樣 的 ,0.0
好看 就算 二 刷 三 刷 也 覺得 很 可以 ,1.0
男女 主角 演技 太 棒 了 支持 國片 歌選 的 也 很 讚 推推 ,1.0
劇情 很 老套 但 演員 演技 真的 太 強 太 強 了 很 感動 佩服 佩服 ,1.0
不 知道 評價 低 的 人 是 有沒有 在 看 電影 不 長 但是 該 演 的 內容 都 有 演到 是 一 部 勵志 的 電影 適合 小朋友 去 看 ,1.0
非常 好看 邱澤 眼 裡 都 是 戲 沒有 冷場 帶 了 兩 包 衛生紙 都 不 夠 哭 超紓壓 大推 ,1.0
帶 著 小朋友 去 看 早場 小朋友 的 回應 是 的 精彩 刺激 音效 強大 而 我 這 位 做 父親 的 覺得 裡面 講 的 非常 多 的 親情 意境 最後 煉獄 的 犧牲打 讓 我 周邊 觀看 的 都 淚汪汪 但是 其實 煉獄 最後 所 想 做 的 就是 得到 他 離世 媽媽 給 他 的 最後 肯定 你 是 最 好 的 一 部 動畫 很多 觀看 方式 很多 自我 意象 建議 有 喜歡 的 朋友 都 可以 去 看看 畢竟 版 的 我 才 看 過 四 集 ,0.0
演技 給 五分 劇情 爛給 三分 折衷 四 顆 星 ,0.0
整體 還 算 不錯 感情 豐富 的 人 應該 都 能 看 哭 ,0.0
真的 很 好 哭 心情 不 好 的 時候 看 真的 哭 到 不能 自已 ,1.0
看完 後 覺得 耗資 億 拍出 這 個 吐 血 先 ,0.0
超爽超 好看 啊 從 去年 到 今年 到底 悶 了 多久 就 是 在 等 這 種 片 啊 今年 目前 為止 最 好看 的 電影 沒有 之 一 傑森史塔森 從頭到尾 殺好 殺滿 黑吃 黑吃 黑吃黑 反轉 再 反轉 結局 不 像 一般 無 腦 動作片 選擇 非常 黑色 幽默 又 不 落俗套 收尾 方式 我 超愛 ,1.0
